year,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1900,Drought,2,1261000,,,,,
1900,Epidemic,1,30,,,,,
1900,Flood,1,300,,,,,
1900,Storm,1,6000,,,,,30000
1900,"Volcanic activity",1,30,,,,,
1901,Earthquake,2,18,,,,,
1901,Epidemic,1,200000,,,,,
1901,"Industrial accident",1,18,,,,,
1902,Earthquake,3,6747,,,,,
1902,"Miscellaneous accident",1,115,,,,,
1902,Storm,1,600,,,,,
1902,"Volcanic activity",5,38690,,,,,
1903,Drought,1,,,,,,
1903,Earthquake,1,6000,,,,,
1903,Flood,2,250,,,,,480000
1903,"Mass movement (dry)",1,76,,23,,23,
1903,"Miscellaneous accident",2,686,,,,,
1903,Storm,2,163,,,,,
1903,"Volcanic activity",1,17,,,,,
1904,Earthquake,1,,,,,,
1904,"Miscellaneous accident",1,15,,2,,2,
1904,Storm,1,,,,,,
1904,"Transport accident",2,1096,,,,,
1905,Earthquake,2,22500,,,,,
1905,"Industrial accident",1,16,,,,,
1905,"Mass movement (dry)",1,18,,18,,18,
1905,Storm,1,240,,,,,
1906,Drought,1,,,,,,
1906,Earthquake,10,31966,,,,,630750
1906,Flood,2,6,,,,,
1906,"Industrial accident",1,1099,14,,,14,
1906,"Miscellaneous accident",1,1188,,,,,
1906,Storm,3,10298,,,,,20000
1906,"Transport accident",2,58,19,,,19,
1906,"Volcanic activity",1,700,,,,,
1907,Earthquake,5,25641,90000,,,90000,30000
1907,Epidemic,1,1300000,,,,,
1907,"Miscellaneous accident",1,75,,,,,
1908,Earthquake,3,75000,150000,,,150000,116000
1908,"Industrial accident",3,398,,,,,
1908,"Mass movement (dry)",1,33,,,,,
1908,"Miscellaneous accident",4,452,,,,,
1909,Earthquake,3,5146,,,,,
1909,Epidemic,2,1500040,,,,,
1909,Flood,1,72,,,,,
1909,Landslide,1,53,,,,,
1909,"Miscellaneous accident",1,250,,,,,
1909,Storm,5,713,,,,,
1909,"Volcanic activity",1,5500,,,,,
1910,Drought,9,85000,32000,,,32000,
1910,Earthquake,3,1762,,,,,
1910,Epidemic,1,60000,,,,,
1910,Flood,1,1379,,,,,
1910,"Industrial accident",3,39,,,,,
1910,"Mass movement (dry)",1,62,,,,,
1910,Storm,1,30,,,,,
1910,"Transport accident",1,63,,20,,20,
1911,Flood,1,100000,,,,,
1911,"Miscellaneous accident",2,225,,,,,
1911,Storm,2,1000,,,,,20000
1911,"Volcanic activity",1,1335,,199,,199,
1911,Wildfire,1,73,,,200,200,
1912,Earthquake,2,923,,1575,,1575,
1912,Storm,5,51170,,200,97320,97520,35000
1912,"Transport accident",3,3000,2200,,,2200,
1913,Earthquake,4,150,,,,,
1913,"Industrial accident",1,439,,,,,
1913,"Insect infestation",1,,,,,,
