"disaster group","disaster subgroup","disaster type",continent,region,occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
"Complex Disasters","Complex Disasters","Complex Disasters",Africa,"Eastern Africa",2,0,2300000,0,0,2300000,0
"Complex Disasters","Complex Disasters","Complex Disasters",Africa,"Middle Africa",1,0,45000,0,0,45000,0
"Complex Disasters","Complex Disasters","Complex Disasters",Africa,"Northern Africa",1,0,2600000,0,0,2600000,0
"Complex Disasters","Complex Disasters","Complex Disasters",Africa,"Western Africa",1,0,50000,0,0,50000,0
"Complex Disasters","Complex Disasters","Complex Disasters",Americas,"Central America",2,0,15500,0,0,15500,0
"Complex Disasters","Complex Disasters","Complex Disasters",Asia,"Eastern Asia",1,610000,8000000,0,0,8000000,0
"Complex Disasters","Complex Disasters","Complex Disasters",Asia,"South-Eastern Asia",1,0,900000,0,0,900000,0
"Complex Disasters","Complex Disasters","Complex Disasters",Asia,"Southern Asia",2,0,838400,0,0,838400,0
"Complex Disasters","Complex Disasters","Complex Disasters",Asia,"Western Asia",2,0,4937214,0,0,4937214,0
"Complex Disasters","Complex Disasters","Complex Disasters",Europe,"Russian Federation",1,5000000,0,0,0,0,0
Natural,Biological,"Animal accident",Africa,"Western Africa",1,12,5,0,0,5,0
Natural,Biological,Epidemic,Africa,"Eastern Africa",283,250784,10335271,66128,0,10401399,0
Natural,Biological,Epidemic,Africa,"Middle Africa",170,27471,1032113,2530,0,1034643,0
Natural,Biological,Epidemic,Africa,"Northern Africa",47,22277,224690,586,0,225276,0
Natural,Biological,Epidemic,Africa,"Southern Africa",23,1480,169811,518,0,170329,0
Natural,Biological,Epidemic,Africa,"Western Africa",282,179586,1208584,34920,0,1243504,0
Natural,Biological,Epidemic,Americas,Caribbean,29,686,494292,277671,0,771963,0
Natural,Biological,Epidemic,Americas,"Central America",49,1550,315468,0,0,315468,7
Natural,Biological,Epidemic,Americas,"Northern America",12,50879,2415620,0,0,2415620,0
Natural,Biological,Epidemic,Americas,"South America",76,15288,2747931,79725,0,2827656,0
Natural,Biological,Epidemic,Asia,"Central Asia",12,261,25861,141,0,26002,0
Natural,Biological,Epidemic,Asia,"Eastern Asia",27,1562080,2310019,185,0,2310204,0
Natural,Biological,Epidemic,Asia,"South-Eastern Asia",109,8963,1295727,124336,0,1420063,0
Natural,Biological,Epidemic,Asia,"Southern Asia",164,4957089,4209901,211,0,4210112,0
