Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
Partner Supplier,ReliefSupplyItemTimeInSystemAverage,116.067161648332,116.302476528395,114.626663833878,118.285767069942,0.812162362514874,115.254999285817,116.879324010847,116.478104199438,NaN,NaN,115.253855775361,114.626663833878,116.302476528395
Partner Supplier,ReliefBeneficiaryNumberCreated,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Partner Supplier,UnsatisfiedBeneficiaries,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0
Partner Supplier,ReliefSuppliesDistributed,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Partner Supplier,MaxDistSite2TimeWaiting,36.1003304609756,38.5514334751113,26.0423260068389,54.0559793535074,7.58661687651103,28.5137135844646,43.6869473374866,39.0481172223019,NaN,NaN,26.4302622596981,26.0423260068389,38.5514334751113
Partner Supplier,MaxDistSite1TimeWaiting,35.7540164868863,38.0219202894996,27.1742423022585,49.8290903421704,4.64295726734843,31.1110592195379,40.3969737542347,38.0633422033746,NaN,NaN,32.2973102853776,27.1742423022585,38.0219202894996
Partner Supplier,AvgBeneficiaryTimeInSystem,4.71712193436293,4.99148101712214,3.72263381889075,5.95061650167494,0.554612951088006,4.16250898327493,5.27173488545094,5.05566594502306,NaN,NaN,4.17190377693276,3.72263381889075,4.99148101712214
Adhoc Supplier,ReliefSupplyItemTimeInSystemAverage,217.834868641129,218.357893904544,214.303766789217,220.593250191108,1.49691713548916,216.33795150564,219.331785776618,219.038926356164,NaN,NaN,216.166171856314,214.303766789217,218.357893904544
Adhoc Supplier,ReliefBeneficiaryNumberCreated,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Adhoc Supplier,UnsatisfiedBeneficiaries,15000,15000,15000,15000,0,15000,15000,15000,NaN,NaN,15000,15000,15000
Adhoc Supplier,ReliefSuppliesDistributed,5000,5000,5000,5000,0,5000,5000,5000,NaN,NaN,5000,5000,5000
Adhoc Supplier,MaxDistSite2TimeWaiting,289.963402197305,288.105504888899,275.463076799734,325.306959898377,12.447892488991,277.515509708314,302.411294686296,299.969963634794,NaN,NaN,277.048542723054,275.463076799734,288.105504888899
Adhoc Supplier,MaxDistSite1TimeWaiting,291.130365029091,288.532586547354,275.96986100751,326.511973330382,11.8154559820046,279.314909047086,302.945821011096,301.897492236101,NaN,NaN,276.81594395904,275.96986100751,288.532586547354
Adhoc Supplier,AvgBeneficiaryTimeInSystem,253.084094804781,258.002203661663,240.908482111613,260.345638567536,5.66633008654192,247.417764718239,258.750424891323,259.123713122919,NaN,NaN,244.620103418437,240.908482111613,258.002203661663
Midlevel Supplier,ReliefSupplyItemTimeInSystemAverage,154.665275372885,155.176005335728,151.792336475686,157.128134672774,1.30030765184476,153.36496772104,155.965583024729,156.431709328733,NaN,NaN,153.111058739616,151.792336475686,155.176005335728
Midlevel Supplier,ReliefBeneficiaryNumberCreated,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Midlevel Supplier,UnsatisfiedBeneficiaries,10055.3,10000,10000,10271,68.6554574754258,9986.64454252457,10123.9554574754,10129,NaN,NaN,10000,10000,10000
Midlevel Supplier,ReliefSuppliesDistributed,9944.7,10000,9729,10000,68.6554574754258,9876.04454252457,10013.3554574754,10000,NaN,NaN,9871,9729,10000
Midlevel Supplier,MaxDistSite2TimeWaiting,243.629077164782,247.186020646676,191.445541228931,298.384103088515,26.9773335683947,216.651743596387,270.606410733176,276.116607648895,NaN,NaN,203.21011423193,191.445541228931,247.186020646676
Midlevel Supplier,MaxDistSite1TimeWaiting,283.182952154044,287.358880523498,235.622012242378,331.983118995851,25.7664224602773,257.416529693767,308.949374614322,318.978590249866,NaN,NaN,253.185797842349,235.622012242378,287.358880523498
Midlevel Supplier,AvgBeneficiaryTimeInSystem,182.449092095723,184.916646389242,170.438262200721,186.686222301501,3.5972684384279,178.851823657296,186.046360534151,186.175109647318,NaN,NaN,180.885860569208,170.438262200721,184.916646389242
Midlevel Access to Dist Site 1,ReliefSupplyItemTimeInSystemAverage,115.639421586572,116.065995372535,112.103888524114,118.400448246463,1.47848701032251,114.16093457625,117.117908596895,117.381988782919,NaN,NaN,114.59921098391,112.103888524114,116.065995372535
Midlevel Access to Dist Site 1,ReliefBeneficiaryNumberCreated,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Midlevel Access to Dist Site 1,UnsatisfiedBeneficiaries,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0
Midlevel Access to Dist Site 1,ReliefSuppliesDistributed,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Midlevel Access to Dist Site 1,MaxDistSite2TimeWaiting,33.7449244831699,34.9089453797718,26.7181916973955,44.5660555006085,4.52305083732452,29.2218736458454,38.2679753204944,36.1955899926549,NaN,NaN,29.2530151023551,26.7181916973955,34.9089453797718
Midlevel Access to Dist Site 1,MaxDistSite1TimeWaiting,33.0669867356771,36.0123426006005,25.1791614945509,47.8290903421704,5.03714250677441,28.0298442289027,38.1041292424515,36.0782279021791,NaN,NaN,27.2312756554556,25.1791614945509,36.0123426006005
Midlevel Access to Dist Site 1,AvgBeneficiaryTimeInSystem,3.9300743127188,3.96349846599574,2.90748883666194,4.82113767006234,0.465414253005218,3.46466005971358,4.39548856572401,4.55846433740882,NaN,NaN,3.40582964520029,2.90748883666194,3.96349846599574
Quick Access to Dist Site 1,ReliefSupplyItemTimeInSystemAverage,117.234860258776,118.394780207196,112.838276282522,122.506618608846,2.51250770031037,114.722352558465,119.747367959086,120.039027244697,NaN,NaN,113.802190334281,112.838276282522,118.394780207196
Quick Access to Dist Site 1,ReliefBeneficiaryNumberCreated,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Quick Access to Dist Site 1,UnsatisfiedBeneficiaries,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0
Quick Access to Dist Site 1,ReliefSuppliesDistributed,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Quick Access to Dist Site 1,MaxDistSite2TimeWaiting,46.0825637499269,38.2814413981951,27.4267558377847,68.9081653302188,13.478581644256,32.6039821056709,59.5611453941829,67.1536330171839,NaN,NaN,31.1075034045437,27.4267558377847,38.2814413981951
