Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Adhoc Supplier,Combiner,DistributionSite1,[Resource],Capacity,ScheduledUtilization,Percent,7.94319825939928,3.21447578904256,13.9303224347378,2.35559619270635,3.29312520626568
Adhoc Supplier,Combiner,DistributionSite1,[Resource],Capacity,UnitsAllocated,Total,2300,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite1,[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
Adhoc Supplier,Combiner,DistributionSite1,[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Adhoc Supplier,Combiner,DistributionSite1,[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Adhoc Supplier,Combiner,DistributionSite1,[Resource],Capacity,UnitsUtilized,Average,0.0794319825939928,0.0321447578904256,0.139303224347378,0.0235559619270635,0.0329312520626568
Adhoc Supplier,Combiner,DistributionSite1,[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Adhoc Supplier,Combiner,DistributionSite1,[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Adhoc Supplier,Combiner,DistributionSite1,[Resource],ResourceState,TimeProcessing,Average (Hours),33.0730664696316,15.4294837874043,66.8655476867414,13.6815446382427,19.1268094456726
Adhoc Supplier,Combiner,DistributionSite1,[Resource],ResourceState,TimeProcessing,Occurrences,1.3,1,2,0.34552620739967,0.483045891539648
Adhoc Supplier,Combiner,DistributionSite1,[Resource],ResourceState,TimeProcessing,Percent,7.94319825939928,3.21447578904256,13.9303224347378,2.35559619270635,3.29312520626568
Adhoc Supplier,Combiner,DistributionSite1,[Resource],ResourceState,TimeProcessing,Total (Hours),38.1273516451166,15.4294837874043,66.8655476867414,11.3068617249905,15.8070009900753
Adhoc Supplier,Combiner,DistributionSite1,[Resource],ResourceState,TimeStarved,Average (Hours),198.621085902603,148.66812930543,232.285258106298,25.2250876728283,35.2646910802713
Adhoc Supplier,Combiner,DistributionSite1,[Resource],ResourceState,TimeStarved,Occurrences,2.3,2,3,0.34552620739967,0.483045891539648
Adhoc Supplier,Combiner,DistributionSite1,[Resource],ResourceState,TimeStarved,Percent,92.0568017406007,86.0696775652622,96.7855242109574,2.35559619270635,3.29312520626568
Adhoc Supplier,Combiner,DistributionSite1,[Resource],ResourceState,TimeStarved,Total (Hours),441.872648354883,413.134452313259,464.570516212596,11.3068617249905,15.8070009900753
Adhoc Supplier,Combiner,DistributionSite1,MemberInputBuffer,Throughput,NumberEntered,Total,2300,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite1,MemberInputBuffer,Throughput,NumberExited,Total,2300,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite1,OutputBuffer,Throughput,NumberEntered,Total,2300,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite1,OutputBuffer,Throughput,NumberExited,Total,2300,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite1,ParentInputBuffer,Content,NumberInStation,Average,3708.28573753255,3264.59843408425,4007.04273574189,152.442809626815,213.1151597419
Adhoc Supplier,Combiner,DistributionSite1,ParentInputBuffer,Content,NumberInStation,Maximum,7679.3,6513,8810,547.661197938616,765.6307566677
Adhoc Supplier,Combiner,DistributionSite1,ParentInputBuffer,Content,NumberInStation,Minimum,0,0,0,0,0
Adhoc Supplier,Combiner,DistributionSite1,ParentInputBuffer,HoldingTime,TimeInStation,Average (Hours),264.553889080319,223.622986409958,313.679582784632,17.2439172415171,24.1070089596117
Adhoc Supplier,Combiner,DistributionSite1,ParentInputBuffer,HoldingTime,TimeInStation,Maximum (Hours),291.130365029091,275.96986100751,326.511973330382,11.8154559820046,16.5180161346578
Adhoc Supplier,Combiner,DistributionSite1,ParentInputBuffer,HoldingTime,TimeInStation,Minimum (Hours),237.775298883874,171.678864813719,299.956797113989,25.376079442294,35.475777684803
Adhoc Supplier,Combiner,DistributionSite1,ParentInputBuffer,Throughput,NumberEntered,Total,9797,9594,9928,74.1960519920029,103.726135140143
Adhoc Supplier,Combiner,DistributionSite1,ParentInputBuffer,Throughput,NumberExited,Total,2300,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite1,Processing,Content,NumberInStation,Average,0.0794319825939928,0.0321447578904256,0.139303224347378,0.0235559619270635,0.0329312520626568
Adhoc Supplier,Combiner,DistributionSite1,Processing,Content,NumberInStation,Maximum,1,1,1,0,0
Adhoc Supplier,Combiner,DistributionSite1,Processing,Content,NumberInStation,Minimum,0,0,0,0,0
Adhoc Supplier,Combiner,DistributionSite1,Processing,HoldingTime,TimeInStation,Average (Hours),0.0165701061907083,0.0154294837874043,0.0176048766156363,0.000436826525867354,0.000610683803766268
Adhoc Supplier,Combiner,DistributionSite1,Processing,HoldingTime,TimeInStation,Maximum (Hours),0.13542475272377,0.112715065922885,0.158744134836127,0.0112676055110287,0.015752120774145
Adhoc Supplier,Combiner,DistributionSite1,Processing,HoldingTime,TimeInStation,Minimum (Hours),1.3875062796842E-05,2.20697756958543E-07,3.7152608172164E-05,9.21941196625137E-06,1.28887446952987E-05
Adhoc Supplier,Combiner,DistributionSite1,Processing,Throughput,NumberEntered,Total,2300,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite1,Processing,Throughput,NumberExited,Total,2300,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite2,[Resource],Capacity,ScheduledUtilization,Percent,9.37136395374267,3.46716342395061,13.9702350501155,2.39708886831139,3.3511319972146
Adhoc Supplier,Combiner,DistributionSite2,[Resource],Capacity,UnitsAllocated,Total,2700,1000,4000,678.6,948.683298050514
Adhoc Supplier,Combiner,DistributionSite2,[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
